      220 | F010     |    1681
      220 | F011     |       5
      220 | F012     |    1840
      220 | F014     |     127
      220 | F020     |      15
      220 | F022     |  738894
      220 | F096     |      11
      220 | F099     |    7758
      220 | F109     | 2607042
      311 | F011     |      264
      311 | F012     |    16834
      311 | F014     |     1753
      311 | F020     |       72
      311 | F022     |  6993952
      311 | F096     |      260
      311 | F098     | 10624758
      311 | F099     |      209
      311 | F109     |    49893
      351 | F010     |       2
      351 | F011     |     150
      351 | F012     |    5645
      351 | F013     |      20
      351 | F020     |      34
      351 | F022     |  350830
      351 | F023     |       1
      351 | F099     |      21
      351 | F109     | 2003503
      431 | F010     |       1
      431 | F011     |      65
      431 | F012     |    9349
      431 | F013     |       2
      431 | F014     |      61
      431 | F022     | 2483495
      431 | F096     |     644
      431 | F099     |    1227
      431 | F109     | 3583489
      451 | F011     |     284
      451 | F012     |    4569
      451 | F014     |      12
      451 | F020     |    3646
      451 | F022     | 3336768
      451 | F023     |    1652
      451 | F025     |       1
      451 | F040     |      38
      451 | F096     |     826
      451 | F098     | 4507082
      451 | F099     |    1645
      451 | F109     |  195531
      471 | F011     |      36
      471 | F012     |      49
      471 | F014     |       8
      471 | F020     |      15
      471 | F022     |      13
      471 | F096     |     122
      471 | F098     |     278
      471 | F099     |    1365
      471 | F109     |   53003
      731 | F010     |     199
      731 | F011     |   22668
      731 | F012     |     286
      731 | F013     |       2
      731 | F014     |      24
      731 | F020     |    9039
      731 | F022     | 6687029
      731 | F096     |       2
      731 | F098     |       2
      731 | F099     |   42595
      731 | F109     | 7587536
      891 | F011     |    557
      891 | F012     |     17
      891 | F013     |      3
      891 | F022     | 308975
      891 | F096     |      4
      891 | F098     |     42
      891 | F099     |  71805
      891 | F109     | 503681
      898 | F010     |    45
      898 | F011     |     6
      898 | F012     |    40
      898 | F014     |     3
      898 | F020     |   345
      898 | F022     |    35
      898 | F096     |    30
      898 | F098     |  2388
      898 | F099     |    47
      898 | F109     | 22430
      931 | F010     |       4
      931 | F011     |     233
      931 | F012     |    3589
      931 | F014     |     229
      931 | F022     |   35101
      931 | F040     |    1459
      931 | F096     |      93
      931 | F098     | 1962560
      931 | F099     |      22
      931 | F109     | 1691498
      951 | F011     |       7
      951 | F012     |     466
      951 | F013     |       2
      951 | F014     |       2
      951 | F022     | 1451068
      951 | F040     |    3255
      951 | F098     |  393016
      951 | F099     |      23
      971 | F011     |     12
      971 | F012     |   1417
      971 | F020     |      2
      971 | F022     | 255047
      971 | F023     |      1
      971 | F025     |     21
      971 | F096     |     24
      971 | F098     | 312289
      971 | F099     |   1074
      971 | F109     | 639632
      991 | F010     |     335
      991 | F011     |      18
      991 | F012     |      68
      991 | F014     |       3
      991 | F022     | 2423349
      991 | F098     |     141
      991 | F099     |    4315
      991 | F109     | 3308268
