     ?column?     | prov_cd |  substr  | count |       sum       |      sum       |       sum       |      sum      
 notVo89820230205 |     898 | 20230205 |  1434 |  1392920.000000 | 1378300.000000 |    14584.000000 |     36.000000
 notVo35120230210 |     351 | 20230210 |   684 |    51073.000000 |   38616.000000 |     8785.000000 |      0.000000
 notVo43120230202 |     431 | 20230202 |  3859 |  9149323.000000 | 3314257.000000 |  5835003.000000 |     63.000000
 notVo31120230206 |     311 | 20230206 | 13212 | 29020355.000000 | 9392664.000000 | 19329424.000000 |    751.000000
 notVo97120230202 |     971 | 20230202 |  4156 |  2083189.000000 |  630610.000000 |  1141420.000000 |    152.000000
 notVo45120230205 |     451 | 20230205 | 12861 | 10593871.000000 | 2933950.000000 |  7659917.000000 |      4.000000
 notVo31120230201 |     311 | 20230201 | 12657 | 26163711.000000 | 8557981.000000 | 17233485.000000 |    828.000000
 notVo45120230208 |     451 | 20230208 | 13211 | 11799590.000000 | 3643133.000000 |  8156438.000000 |     19.000000
 notVo95120230205 |     951 | 20230205 |  1438 |  1283460.000000 |  310203.000000 |   966229.000000 |   7028.000000
 notVo89820230203 |     898 | 20230203 |  1434 |  1639387.000000 | 1616528.000000 |    22810.000000 |     49.000000
 notVo97120230208 |     971 | 20230208 |  4050 |  2072289.000000 |  658203.000000 |  1163942.000000 |    270.000000
 notVo31120230208 |     311 | 20230208 | 13093 | 28321598.000000 | 9253152.000000 | 18749398.000000 |    719.000000
 notVo47120230209 |     471 | 20230209 |  6479 |  3090488.000000 | 3035510.000000 |    54962.000000 |     16.000000
 notVo47120230204 |     471 | 20230204 |  6452 |  2616396.000000 | 2585805.000000 |    30581.000000 |     10.000000
 notVo35120230203 |     351 | 20230203 |  2863 |  6065238.000000 | 3722564.000000 |  1995754.000000 |     31.000000
 notVo97120230207 |     971 | 20230207 |  4047 |  2115422.000000 |  676488.000000 |  1189568.000000 |    246.000000
 notVo95120230208 |     951 | 20230208 |  1444 |  2335776.000000 |  399109.000000 |  1917986.000000 |  18681.000000
 notVo93120230206 |     931 | 20230206 |  7432 |  6980063.000000 | 2686618.000000 |  3221850.000000 |  38810.000000
 notVo45120230210 |     451 | 20230210 |  2945 |   114575.000000 |   39077.000000 |    75498.000000 |      0.000000
 notVo43120230204 |     431 | 20230204 |  3745 |  8483113.000000 | 2977955.000000 |  5505104.000000 |     54.000000
 notVo35120230208 |     351 | 20230208 |  2864 |  6594672.000000 | 3905592.000000 |  2323492.000000 |     37.000000
 notVo89120230207 |     891 | 20230207 |   291 |  1273105.000000 |  412658.000000 |   859573.000000 |      1.000000
 notVo35120230205 |     351 | 20230205 |  2865 |  4683485.000000 | 3121851.000000 |  1265600.000000 |     19.000000
 notVo73120230210 |     731 | 20230210 | 10100 |   276129.000000 |  127833.000000 |   141146.000000 |      6.000000
 notVo47120230205 |     471 | 20230205 |  6468 |  2508114.000000 | 2482113.000000 |    25989.000000 |     12.000000
 notVo89820230202 |     898 | 20230202 |  1434 |  1604700.000000 | 1582104.000000 |    22540.000000 |     56.000000
 notVo95120230204 |     951 | 20230204 |  1440 |  1531801.000000 |  319704.000000 |  1204131.000000 |   7966.000000
 notVo89120230205 |     891 | 20230205 |   288 |  1196871.000000 |  371542.000000 |   824919.000000 |      0.000000
 notVo31120230209 |     311 | 20230209 | 12817 | 26977294.000000 | 8962081.000000 | 17688853.000000 |    686.000000
 notVo95120230203 |     951 | 20230203 |  1440 |  1799275.000000 |  381021.000000 |  1401245.000000 |  17009.000000
 notVo95120230201 |     951 | 20230201 |  1440 |  1547304.000000 |  451449.000000 |   995132.000000 | 100723.000000
 notVo89120230202 |     891 | 20230202 |   293 |  1343410.000000 |  401389.000000 |   941097.000000 |      3.000000
 notVo89120230208 |     891 | 20230208 |   290 |  1298122.000000 |  417251.000000 |   879956.000000 |      3.000000
 notVo22020230202 |     220 | 20230202 |  1164 |  5511037.000000 | 2309016.000000 |  3201974.000000 |     45.000000
 notVo45120230209 |     451 | 20230209 | 13093 | 11707465.000000 | 3653041.000000 |  8054410.000000 |     14.000000
 notVo45120230206 |     451 | 20230206 | 13095 | 12001236.000000 | 3669503.000000 |  8331701.000000 |     32.000000
 notVo99120230205 |     991 | 20230205 |  5012 |  9555081.000000 | 4088768.000000 |  5011999.000000 |     30.000000
 notVo35120230201 |     351 | 20230201 |  2867 |  5792072.000000 | 3633158.000000 |  1818456.000000 |     12.000000
 notVo89820230206 |     898 | 20230206 |  1433 |  1730438.000000 | 1709758.000000 |    20645.000000 |     35.000000
 notVo73120230208 |     731 | 20230208 | 42223 | 24199743.000000 | 9065455.000000 | 14567121.000000 |     64.000000
 notVo22020230206 |     220 | 20230206 |  1165 |  5774876.000000 | 2455841.000000 |  3318995.000000 |     36.000000
 notVo43120230205 |     431 | 20230205 |  3749 |  8804591.000000 | 2887286.000000 |  5917261.000000 |     44.000000
 notVo43120230208 |     431 | 20230208 |  3942 |  9771796.000000 | 3604791.000000 |  6166946.000000 |     59.000000
 notVo93120230204 |     931 | 20230204 |  7280 |  5793336.000000 | 2331040.000000 |  2509877.000000 |  31670.000000
 notVo43120230210 |     431 | 20230210 |   654 |    77399.000000 |   35649.000000 |    41748.000000 |      2.000000
 notVo93120230210 |     931 | 20230210 |  1712 |    64643.000000 |   30777.000000 |    21381.000000 |    565.000000
 notVo31120230207 |     311 | 20230207 | 13141 | 28609845.000000 | 9372652.000000 | 18929677.000000 |    726.000000
 notVo73120230205 |     731 | 20230205 | 42302 | 20841498.000000 | 7194272.000000 | 13102848.000000 |     47.000000
 notVo73120230204 |     731 | 20230204 | 42259 | 22234667.000000 | 7779690.000000 | 13753049.000000 |     62.000000
 notVo89820230207 |     898 | 20230207 |  1435 |  1744505.000000 | 1719715.000000 |    24754.000000 |     36.000000
 notVo97120230204 |     971 | 20230204 |  4004 |  1734397.000000 |  578675.000000 |   937415.000000 |    172.000000
 notVo93120230205 |     931 | 20230205 |  7213 |  5705994.000000 | 2400273.000000 |  2282685.000000 |  34934.000000
 notVo89120230203 |     891 | 20230203 |   295 |  1352893.000000 |  402021.000000 |   949904.000000 |      1.000000
 notVo43120230206 |     431 | 20230206 |  3959 |  9938593.000000 | 3637953.000000 |  6300552.000000 |     88.000000
 notVo22020230208 |     220 | 20230208 |  1166 |  5844551.000000 | 2452642.000000 |  3391895.000000 |      9.000000
 notVo97120230201 |     971 | 20230201 |  4078 |  2016341.000000 |  612014.000000 |  1065447.000000 |    152.000000
 notVo99120230207 |     991 | 20230207 |  5305 | 11599263.000000 | 4758295.000000 |  6013848.000000 |     31.000000
 notVo47120230206 |     471 | 20230206 |  6478 |  3253789.000000 | 3196595.000000 |    57182.000000 |     12.000000
 notVo97120230206 |     971 | 20230206 |  4030 |  2111575.000000 |  673495.000000 |  1188531.000000 |    228.000000
 notVo47120230210 |     471 | 20230210 |  1457 |    33088.000000 |   31763.000000 |     1325.000000 |      0.000000
 notVo73120230206 |     731 | 20230206 | 42308 | 25760969.000000 | 9371748.000000 | 15794032.000000 |     67.000000
 notVo95120230210 |     951 | 20230210 |   355 |     9274.000000 |    4988.000000 |     4053.000000 |    233.000000
 notVo45120230203 |     451 | 20230203 | 12994 | 11008961.000000 | 3408986.000000 |  7599963.000000 |     12.000000
 notVo89120230201 |     891 | 20230201 |   295 |  1330631.000000 |  395378.000000 |   934460.000000 |      0.000000
 notVo99120230210 |     991 | 20230210 |  1133 |   238453.000000 |  109244.000000 |   112987.000000 |      1.000000
 notVo47120230208 |     471 | 20230208 |  6465 |  3221435.000000 | 3163792.000000 |    57623.000000 |     20.000000
 notVo99120230209 |     991 | 20230209 |  5215 | 10994512.000000 | 4777267.000000 |  5761041.000000 |     36.000000
 notVo45120230207 |     451 | 20230207 | 13152 | 12005783.000000 | 3675439.000000 |  8330331.000000 |     13.000000
 notVo95120230207 |     951 | 20230207 |  1449 |  2519473.000000 |  407878.000000 |  2091572.000000 |  20023.000000
 notVo47120230203 |     471 | 20230203 |  6452 |  2945483.000000 | 2893885.000000 |    51583.000000 |     15.000000
 notVo31120230205 |     311 | 20230205 | 11721 | 21775223.000000 | 6962036.000000 | 14611361.000000 |    658.000000
 notVo95120230202 |     951 | 20230202 |  1442 |  2013208.000000 |  474254.000000 |  1434383.000000 | 104571.000000
 notVo22020230205 |     220 | 20230205 |  1148 |  4006493.000000 | 1637851.000000 |  2368626.000000 |     16.000000
 notVo99120230201 |     991 | 20230201 |  5541 | 12933033.000000 | 4511361.000000 |  6756719.000000 |     52.000000
 notVo93120230209 |     931 | 20230209 |  7573 |  7222248.000000 | 2541468.000000 |  3696040.000000 |  38014.000000
 notVo43120230209 |     431 | 20230209 |  3938 |  9718962.000000 | 3636607.000000 |  6082231.000000 |    124.000000
(130 rows)

     ?column?     | prov_cd |  substr  | count |       sum       |       sum       |     sum     |     sum      
------------------+---------+----------+-------+-----------------+-----------------+-------------+--------------
 imsVo10020230206 |     100 | 20230206 |  9870 | 21118173.000000 | 21117736.000000 |  288.000000 |   149.000000
 imsVo25020230209 |     250 | 20230209 | 26052 | 57473174.000000 | 57472032.000000 |  655.000000 |   487.000000
 imsVo35120230210 |     351 | 20230210 |   170 |   252317.000000 |   252313.000000 |    4.000000 |     0.000000
 imsVo28020230202 |     280 | 20230202 | 34286 | 75449963.000000 | 75449147.000000 |  719.000000 |    97.000000
 imsVo59120230206 |     591 | 20230206 |  4442 | 38017655.000000 | 38017630.000000 |   15.000000 |    10.000000
 imsVo25020230207 |     250 | 20230207 | 27976 | 60749873.000000 | 60748884.000000 |  707.000000 |   282.000000
 imsVo73120230202 |     731 | 20230202 |  5527 | 48244439.000000 | 48242252.000000 | 2170.000000 |    17.000000
 imsVo79120230205 |     791 | 20230205 |  8695 | 18233592.000000 | 18228257.000000 |  242.000000 |  5093.000000
 imsVo89820230205 |     898 | 20230205 |  3897 |  7620938.000000 |  7620874.000000 |   62.000000 |     2.000000
 imsVo20020230201 |     200 | 20230201 | 35940 | 78856610.000000 | 78855656.000000 |  652.000000 |   302.000000
 imsVo43120230204 |     431 | 20230204 |  7107 | 14100507.000000 | 14100093.000000 |  119.000000 |   295.000000
 imsVo25020230208 |     250 | 20230208 | 27530 | 59930473.000000 | 59929178.000000 |  641.000000 |   654.000000
 imsVo21020230208 |     210 | 20230208 | 10958 | 23511824.000000 | 23511561.000000 |  167.000000 |    96.000000
 imsVo57120230203 |     571 | 20230203 | 18809 | 41152729.000000 | 41152071.000000 |  476.000000 |   182.000000
 imsVo57120230201 |     571 | 20230201 | 18337 | 40230805.000000 | 40230118.000000 |  524.000000 |   163.000000
 imsVo22020230203 |     220 | 20230203 |  5979 | 11639866.000000 | 11639616.000000 |  193.000000 |    57.000000
 imsVo28020230205 |     280 | 20230205 | 31021 | 67639745.000000 | 67638999.000000 |  696.000000 |    50.000000
 imsVo53120230208 |     531 | 20230208 | 10320 | 83858364.000000 | 83858311.000000 |    1.000000 |    52.000000
 imsVo29020230207 |     290 | 20230207 | 15469 | 33345760.000000 | 33342604.000000 |  339.000000 |  2817.000000
 imsVo23020230209 |     230 | 20230209 |  2576 | 33655965.000000 | 33655877.000000 |   54.000000 |    34.000000
